Reginald Androcles Fileas NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (American) new Williams
Reginald Bonito Felix NeoWilliams ::: (English) king's advisor, (Latin) worthy, (Latin) fortunate; happy, (American) new Williams
Reginald Zoyamor Yorick Waterfall ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (American) waterfall
Reginald Bonito Yorick Gaylord ::: (English) king's advisor, (Latin) worthy, (Scandinavian) a form of George, (French) merry lord; jailer
Zoyamor Fileas Maro Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Japanese) myself, (English) maker
Reginald Yorick Philander Blackburn ::: (English) king's advisor, (Scandinavian) a form of George, (Greek) lover of mankind, (Scottish) black brook
Zoyamor Philander Yorick Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) lover of mankind, (Scandinavian) a form of George, (English) son of Roger
Reginald Maro Fileas Hodgson ::: (English) king's advisor, (Japanese) myself, (Greek) he who loves deeply, (English) son of Roger
Maro Renatus Darwin NeoWilliams ::: (Japanese) myself, (Italian) reborn, (English) dear friend, (American) new Williams
Zoyamor Fileas Phoenix Hodgson ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (English) phoenix, (English) son of Roger
Reginald Phoenix Renatus Blackburn ::: (English) king's advisor, (English) phoenix, (Italian) reborn, (Scottish) black brook
Zoyamor Phoenix Maro Gaylord ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (Japanese) myself, (French) merry lord; jailer
Zoyamor Phoenix Gaylord Wright ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (French) merry lord; jailer, (English) maker
Maro Reginald Herodes Waterfall ::: (Japanese) myself, (English) king's advisor, (Greek) the fire dragon, (American) waterfall
Zoyamor Emeterio Reginald Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (English) king's advisor, (English) dear friend
Zoyamor Percival Blackburn Hodgson ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Scottish) black brook, (English) son of Roger
Maro Quigley Percival Gaylord ::: (Japanese) myself, (Irish) maternal side, (French) pierce the valley, (French) merry lord; jailer
Zoyamor Reginald NeoWilliams Blackburn ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (American) new Williams, (Scottish) black brook
Maro Phoenix Androcles Wright ::: (Japanese) myself, (English) phoenix, (Greek) man covered with glory, (English) maker
Maro Fileas Reginald NeoWilliams ::: (Japanese) myself, (Greek) he who loves deeply, (English) king's advisor, (American) new Williams
Zoyamor Bonito Maro Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Japanese) myself, (Scottish) black brook
Zoyamor Maro Herodes Darwin ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Greek) the fire dragon, (English) dear friend
Maro Herodes Bonito Hodgson ::: (Japanese) myself, (Greek) the fire dragon, (Latin) worthy, (English) son of Roger
Reginald Phoenix Wright NeoWilliams ::: (English) king's advisor, (English) phoenix, (English) maker, (American) new Williams
Reginald Quigley Waterfall ::: (English) king's advisor, (Irish) maternal side, (American) waterfall
Reginald Phoenix Androcles Waterfall ::: (English) king's advisor, (English) phoenix, (Greek) man covered with glory, (American) waterfall
Zoyamor Felix Bonito Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) fortunate; happy, (Latin) worthy, (Scottish) black brook
Reginald Fileas Renatus Zoyamor ::: (English) king's advisor, (Greek) he who loves deeply, (Italian) reborn, (Greek/Latin/me) lover of all living beings
Maro Emeterio Herodes NeoWilliams ::: (Japanese) myself, (Greek) he who deserves affection, (Greek) the fire dragon, (American) new Williams
Reginald Androcles Percival NeoWilliams ::: (English) king's advisor, (Greek) man covered with glory, (French) pierce the valley, (American) new Williams
Zoyamor Quigley Fileas Darwin ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Greek) he who loves deeply, (English) dear friend
Zoyamor Quigley Wright Blackburn ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (English) maker, (Scottish) black brook
Zoyamor Renatus Hodgson Blackburn ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (English) son of Roger, (Scottish) black brook
Reginald Maro Zoyamor Waterfall ::: (English) king's advisor, (Japanese) myself, (Greek/Latin/me) lover of all living beings, (American) waterfall
Maro Androcles NeoWilliams Hodgson ::: (Japanese) myself, (Greek) man covered with glory, (American) new Williams, (English) son of Roger
Reginald Emeterio Felix Blackburn ::: (English) king's advisor, (Greek) he who deserves affection, (Latin) fortunate; happy, (Scottish) black brook
Zoyamor Waterfall Bonito NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (American) waterfall, (Latin) worthy, (American) new Williams
Maro Fileas Renatus Waterfall ::: (Japanese) myself, (Greek) he who loves deeply, (Italian) reborn, (American) waterfall
Maro Fileas Percival Wright ::: (Japanese) myself, (Greek) he who loves deeply, (French) pierce the valley, (English) maker
Reginald Renatus Felix Hodgson ::: (English) king's advisor, (Italian) reborn, (Latin) fortunate; happy, (English) son of Roger
Reginald Herodes Yorick Hodgson ::: (English) king's advisor, (Greek) the fire dragon, (Scandinavian) a form of George, (English) son of Roger
Maro Renatus Wright Darwin ::: (Japanese) myself, (Italian) reborn, (English) maker, (English) dear friend
Reginald Yorick Renatus Hodgson ::: (English) king's advisor, (Scandinavian) a form of George, (Italian) reborn, (English) son of Roger
Reginald Emeterio Hodgson Wright ::: (English) king's advisor, (Greek) he who deserves affection, (English) son of Roger, (English) maker
Zoyamor Percival Felix Wright ::: (Greek/Latin/me) lover of all living beings, (French) pierce the valley, (Latin) fortunate; happy, (English) maker
Reginald Maro Renatus Hodgson ::: (English) king's advisor, (Japanese) myself, (Italian) reborn, (English) son of Roger
Zoyamor Reginald Renatus Waterfall ::: (Greek/Latin/me) lover of all living beings, (English) king's advisor, (Italian) reborn, (American) waterfall
Zoyamor Yorick Herodes NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Scandinavian) a form of George, (Greek) the fire dragon, (American) new Williams
Maro Androcles Wright Darwin ::: (Japanese) myself, (Greek) man covered with glory, (English) maker, (English) dear friend
Zoyamor Renatus Quigley NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Irish) maternal side, (American) new Williams
Maro Emeterio Phoenix Waterfall ::: (Japanese) myself, (Greek) he who deserves affection, (English) phoenix, (American) waterfall
Maro Phoenix Herodes Blackburn ::: (Japanese) myself, (English) phoenix, (Greek) the fire dragon, (Scottish) black brook
Reginald Zoyamor Emeterio Waterfall ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (American) waterfall
Reginald Philander Felix Blackburn ::: (English) king's advisor, (Greek) lover of mankind, (Latin) fortunate; happy, (Scottish) black brook
Maro Androcles Quigley Blackburn ::: (Japanese) myself, (Greek) man covered with glory, (Irish) maternal side, (Scottish) black brook
Maro Phoenix Reginald Darwin ::: (Japanese) myself, (English) phoenix, (English) king's advisor, (English) dear friend
Zoyamor Fileas Blackburn Darwin ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Scottish) black brook, (English) dear friend
Maro Zoyamor NeoWilliams Hodgson ::: (Japanese) myself, (Greek/Latin/me) lover of all living beings, (American) new Williams, (English) son of Roger
Reginald Philander Bonito Zoyamor ::: (English) king's advisor, (Greek) lover of mankind, (Latin) worthy, (Greek/Latin/me) lover of all living beings
Reginald Percival Renatus Gaylord ::: (English) king's advisor, (French) pierce the valley, (Italian) reborn, (French) merry lord; jailer
Zoyamor Emeterio Darwin NeoWilliams ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (English) dear friend, (American) new Williams
Reginald Zoyamor Renatus Wright ::: (English) king's advisor, (Greek/Latin/me) lover of all living beings, (Italian) reborn, (English) maker
Zoyamor Androcles Maro Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) man covered with glory, (Japanese) myself, (Scottish) black brook
Maro Philander Quigley NeoWilliams ::: (Japanese) myself, (Greek) lover of mankind, (Irish) maternal side, (American) new Williams
Reginald Felix Phoenix Zoyamor ::: (English) king's advisor, (Latin) fortunate; happy, (English) phoenix, (Greek/Latin/me) lover of all living beings
Zoyamor Herodes Felix Blackburn ::: (Greek/Latin/me) lover of all living beings, (Greek) the fire dragon, (Latin) fortunate; happy, (Scottish) black brook
Maro Fileas Darwin ::: (Japanese) myself, (Greek) he who loves deeply, (English) dear friend
Reginald Quigley Yorick Zoyamor ::: (English) king's advisor, (Irish) maternal side, (Scandinavian) a form of George, (Greek/Latin/me) lover of all living beings
Zoyamor Quigley Maro Gaylord ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (Japanese) myself, (French) merry lord; jailer
Reginald Percival Maro Zoyamor ::: (English) king's advisor, (French) pierce the valley, (Japanese) myself, (Greek/Latin/me) lover of all living beings
Zoyamor Phoenix Hodgson Gaylord ::: (Greek/Latin/me) lover of all living beings, (English) phoenix, (English) son of Roger, (French) merry lord; jailer
Maro Waterfall Emeterio Darwin ::: (Japanese) myself, (American) waterfall, (Greek) he who deserves affection, (English) dear friend
Maro Quigley Yorick Gaylord ::: (Japanese) myself, (Irish) maternal side, (Scandinavian) a form of George, (French) merry lord; jailer
Maro Yorick Bonito Waterfall ::: (Japanese) myself, (Scandinavian) a form of George, (Latin) worthy, (American) waterfall
Reginald Androcles Fileas Darwin ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who loves deeply, (English) dear friend
Maro Herodes Phoenix Darwin ::: (Japanese) myself, (Greek) the fire dragon, (English) phoenix, (English) dear friend
Reginald Androcles Emeterio Waterfall ::: (English) king's advisor, (Greek) man covered with glory, (Greek) he who deserves affection, (American) waterfall
Reginald Renatus Hodgson Darwin ::: (English) king's advisor, (Italian) reborn, (English) son of Roger, (English) dear friend
Zoyamor Fileas Herodes Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (Greek) the fire dragon, (English) maker
Maro Quigley Blackburn Wright ::: (Japanese) myself, (Irish) maternal side, (Scottish) black brook, (English) maker
Zoyamor Quigley Hodgson Darwin ::: (Greek/Latin/me) lover of all living beings, (Irish) maternal side, (English) son of Roger, (English) dear friend
Zoyamor Maro Wright Darwin ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (English) maker, (English) dear friend
Reginald Philander Fileas Wright ::: (English) king's advisor, (Greek) lover of mankind, (Greek) he who loves deeply, (English) maker
Maro Androcles Blackburn Darwin ::: (Japanese) myself, (Greek) man covered with glory, (Scottish) black brook, (English) dear friend
Zoyamor Emeterio Yorick Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Scandinavian) a form of George, (French) merry lord; jailer
Reginald Yorick Gaylord Blackburn ::: (English) king's advisor, (Scandinavian) a form of George, (French) merry lord; jailer, (Scottish) black brook
Zoyamor Maro Percival Waterfall ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (French) pierce the valley, (American) waterfall
Zoyamor Bonito Fileas Blackburn ::: (Greek/Latin/me) lover of all living beings, (Latin) worthy, (Greek) he who loves deeply, (Scottish) black brook
Reginald Bonito Maro Zoyamor ::: (English) king's advisor, (Latin) worthy, (Japanese) myself, (Greek/Latin/me) lover of all living beings
Zoyamor Fileas NeoWilliams Gaylord ::: (Greek/Latin/me) lover of all living beings, (Greek) he who loves deeply, (American) new Williams, (French) merry lord; jailer
Reginald Percival Felix Blackburn ::: (English) king's advisor, (French) pierce the valley, (Latin) fortunate; happy, (Scottish) black brook
Reginald Fileas Darwin Hodgson ::: (English) king's advisor, (Greek) he who loves deeply, (English) dear friend, (English) son of Roger
Zoyamor Emeterio Fileas Wright ::: (Greek/Latin/me) lover of all living beings, (Greek) he who deserves affection, (Greek) he who loves deeply, (English) maker
Reginald Androcles Philander Gaylord ::: (English) king's advisor, (Greek) man covered with glory, (Greek) lover of mankind, (French) merry lord; jailer
Maro Androcles Reginald NeoWilliams ::: (Japanese) myself, (Greek) man covered with glory, (English) king's advisor, (American) new Williams
Maro Herodes Gaylord Darwin ::: (Japanese) myself, (Greek) the fire dragon, (French) merry lord; jailer, (English) dear friend
Maro Renatus Zoyamor Gaylord ::: (Japanese) myself, (Italian) reborn, (Greek/Latin/me) lover of all living beings, (French) merry lord; jailer
Zoyamor Renatus Quigley Wright ::: (Greek/Latin/me) lover of all living beings, (Italian) reborn, (Irish) maternal side, (English) maker
Reginald Waterfall Yorick Blackburn ::: (English) king's advisor, (American) waterfall, (Scandinavian) a form of George, (Scottish) black brook
Zoyamor Maro Philander Darwin ::: (Greek/Latin/me) lover of all living beings, (Japanese) myself, (Greek) lover of mankind, (English) dear friend
Reginald Philander Darwin Wright ::: (English) king's advisor, (Greek) lover of mankind, (English) dear friend, (English) maker
